training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
272.3245,0.13431786,-7.69542,0.08597785,1.0,2.8291106,-2.614458,110.35013,1.4421477,0.0,-15.339797,-40.68857,1.4098599,-14.771044,-40.27204,0.1614838,0.42075863,-24.401388,-68.601166,0.34658724,286.3498,0.14745215,-7.7161026,0.09114859,1.0,1.448823,0.3661133,-15.402979,-40.97019,1.6913759,-14.791706,-40.16259,0.17898834,0.519606,-25.058376,-68.59639,0.28857124,20000
281.88812,0.17474297,-7.652748,0.07530996,1.0,8.656009,-3.6517458,147.06421,1.4577427,0.020978808,-18.07493,-53.301674,1.1332113,-17.580593,-53.12233,0.15342633,0.41250888,-26.330715,-87.57359,0.26842064,292.7169,0.15361573,-7.68299,0.08287049,1.0,1.375843,0.1275965,-19.198816,-53.47141,1.7974199,-18.68586,-52.45037,0.1508564,0.5536306,-28.06466,-88.25264,0.27581713,40000
290.89236,0.1369547,-7.643916,0.07310209,1.0,3.4794617,-3.198359,111.41966,1.2925777,0.10344899,-20.864695,-58.89935,1.4275153,-20.323702,-58.14041,0.16016212,0.6494936,-28.213612,-90.81207,0.32783806,280.74335,0.09541401,-7.685029,0.08338026,1.0,1.5887924,0.23540902,-22.351967,-59.538334,1.9483575,-21.811663,-59.287575,0.16799209,0.37741134,-30.590775,-91.74093,0.37793547,60000
260.13892,0.11231212,-7.6468735,0.07384141,1.0,5.094142,-3.1231937,111.10097,1.1770399,0.0,-22.931427,-62.28105,1.472866,-22.452549,-61.79578,0.13308778,0.43756565,-29.646572,-93.53783,0.22334135,284.83188,0.1565812,-7.683116,0.082901984,1.0,1.2900921,0.3003242,-22.590431,-62.833088,1.3980103,-22.0565,-62.441364,0.14945127,0.4041934,-29.42677,-91.532234,0.2951359,80000
284.11823,0.17952082,-7.614059,0.065637775,1.0,4.1598997,-9.06122,118.99527,1.1975522,0.17615283,-24.106613,-65.20776,1.6024581,-23.651781,-64.94737,0.14189205,0.52383816,-30.68175,-95.00586,0.22239596,284.38763,0.15595995,-7.6892223,0.08442861,1.0,1.2347096,0.04323852,-24.05206,-64.11066,2.205709,-23.517143,-63.37115,0.16483314,0.38165084,-30.716606,-92.778366,0.26062995,100000
303.1513,0.17373608,-7.601853,0.06258621,1.0,8.05949,-4.777909,147.17618,1.2888,0.14873195,-22.278797,-65.65898,1.3450038,-21.81202,-65.31279,0.13308331,0.26123446,-28.11292,-99.459946,0.23946932,293.28137,0.14886509,-7.6964836,0.08624384,1.0,1.2875626,0.8736234,-23.591106,-64.26543,1.6162522,-23.109978,-63.88469,0.17705484,0.49644545,-29.64505,-86.54805,0.3220005,120000
305.26495,0.13640337,-7.6053205,0.06345316,1.0,3.583158,-4.6580286,122.20366,1.2157061,0.008705258,-23.804943,-65.69339,1.6400565,-23.349854,-65.34578,0.14346209,1.243295,-27.036543,-92.98489,0.47707605,311.12967,0.18834671,-7.6668696,0.07884033,1.0,1.2621942,0.69056964,-24.72097,-66.732185,1.9580047,-24.246698,-66.443436,0.16089708,0.71712583,-28.63385,-93.50345,0.62008935,140000
289.14203,0.12676279,-7.588581,0.05926818,1.0,3.1760883,-6.262552,101.53925,1.1668054,0.0,-25.106592,-64.99579,2.547965,-24.630089,-64.60884,0.13336879,2.3861685,-20.307123,-85.15826,0.7056066,291.52313,0.11101827,-7.6952085,0.08592518,1.0,1.2757397,0.37916827,-25.405495,-66.33342,1.4695183,-24.893211,-66.06441,0.16650139,2.7397587,-20.262234,-78.27582,0.78854114,160000
285.36545,0.100049034,-7.602948,0.062860146,1.0,3.7356648,-2.8487315,101.12275,1.0521299,0.0,-25.47121,-67.69308,1.7259388,-24.979088,-67.358475,0.13390318,0.4176653,-24.075972,-99.23366,0.4684059,285.61423,0.14952523,-7.647256,0.073937014,1.0,1.2680305,0.535257,-25.219593,-66.45506,1.7396026,-24.751942,-66.11029,0.14301291,0.6618348,-23.378998,-64.458115,0.4325583,180000
275.99142,0.08435977,-7.5867906,0.058820598,1.0,4.0484977,-2.7880704,106.08418,1.0607617,0.0,-24.59868,-67.639885,1.7528634,-24.146019,-67.30774,0.13411334,0.28433973,-23.547234,-100.93935,0.43426153,287.5001,0.13517559,-7.680317,0.0822021,1.0,1.5693274,1.5500834,-25.590736,-67.43766,3.2300425,-25.113342,-67.10841,0.19472373,0.8089608,-24.264141,-90.001976,0.51910853,200000
